5x  10x N50 Coverage
97.18 	95.55 	7870 	22.51 
97.51 	94.56 	13855 	22.48 
97.28 	96.10 	17293 	22.47 
97.33 	96.08 	15261 	22.45 
97.28 	96.17 	14266 	22.44 
97.25 	96.04 	10412 	22.43 
97.42 	93.59 	14775 	22.41 
97.35 	96.15 	17857 	22.38 
97.47 	94.27 	13596 	22.38 
97.48 	94.00 	10128 	22.37 
97.33 	96.26 	19544 	22.37 
97.50 	94.56 	15422 	22.36 
97.57 	94.65 	14899 	22.33 
97.42 	93.74 	15687 	22.31 
97.46 	93.97 	10155 	22.31 
97.26 	94.94 	8731 	22.29 
97.37 	96.20 	12864 	22.24 
97.31 	95.80 	11739 	22.24 
97.26 	95.39 	6049 	22.22 
97.45 	94.26 	12519 	22.18 
97.50 	94.40 	10458 	22.17 
97.33 	96.23 	18417 	22.16 
97.53 	94.50 	18380 	22.14 
97.33 	96.17 	16027 	22.13 
97.30 	96.08 	12498 	22.13 
97.17 	95.42 	7562 	22.12 
97.24 	95.78 	12291 	22.11 
97.51 	93.95 	14871 	22.09 
97.29 	96.03 	16206 	22.09 
97.48 	94.24 	12153 	22.07 
97.60 	94.53 	16396 	22.07 
97.33 	95.90 	17088 	21.98 
97.26 	95.69 	11548 	21.94 
97.37 	93.58 	7253 	21.94 
97.31 	96.09 	14779 	21.93 
97.47 	93.97 	11483 	21.92 
97.59 	94.77 	21384 	21.91 
97.55 	94.48 	16429 	21.91 
97.50 	94.05 	12489 	21.81 
97.49 	94.16 	14697 	21.80 
97.53 	94.36 	14425 	21.80 
97.28 	95.80 	12775 	21.79 
97.27 	96.02 	22283 	21.74 
97.17 	95.68 	11543 	21.74 
97.25 	95.60 	11085 	21.73 
97.46 	94.24 	19612 	21.66 
97.31 	95.97 	19173 	21.65 
97.50 	94.33 	15478 	21.62 
96.87 	87.36 	3290 	21.60 
97.25 	95.71 	12494 	21.59 
97.48 	94.08 	11992 	21.58 
97.43 	93.73 	16882 	21.55 
97.55 	94.46 	18640 	21.55 
97.28 	95.90 	17517 	21.53 
97.20 	95.76 	15557 	21.53 
97.33 	93.12 	8233 	21.52 
97.24 	95.30 	7749 	21.51 
97.27 	95.63 	11125 	21.50 
97.24 	95.03 	8859 	21.50 
97.30 	95.98 	23017 	21.39 
97.23 	92.99 	8927 	21.37 
97.23 	95.38 	12577 	21.36 
97.28 	95.70 	13171 	21.34 
97.12 	91.17 	4939 	21.31 
97.51 	93.96 	16755 	21.29 
97.41 	93.19 	21275 	21.28 
97.26 	92.71 	7776 	21.27 
97.24 	95.24 	12789 	21.26 
97.37 	93.37 	10895 	21.23 
97.20 	92.15 	8995 	21.22 
97.14 	94.27 	5761 	21.20 
97.26 	95.44 	21702 	21.20 
97.46 	94.04 	19698 	21.17 
97.32 	92.82 	6495 	21.16 
97.01 	89.75 	23642 	21.16 
97.30 	92.85 	11396 	21.15 
97.42 	93.60 	11352 	21.14 
97.26 	95.74 	18912 	21.14 
97.42 	93.76 	16892 	21.13 
97.31 	95.88 	15947 	21.13 
97.33 	95.71 	19821 	21.13 
97.25 	95.24 	11269 	21.12 
97.37 	93.40 	11700 	21.09 
97.32 	95.47 	10389 	21.08 
97.37 	93.46 	9878 	21.07 
97.24 	95.40 	13121 	21.05 
97.32 	93.44 	12128 	21.03 
97.38 	93.58 	12198 	20.99 
97.27 	95.61 	12728 	20.99 
97.22 	95.20 	11774 	20.98 
97.24 	95.71 	15885 	20.94 
97.43 	93.39 	17721 	20.90 
97.25 	95.07 	10685 	20.88 
97.41 	93.68 	18558 	20.88 
97.31 	95.48 	16841 	20.87 
97.26 	95.17 	12455 	20.87 
97.16 	91.80 	6627 	20.87 
97.02 	90.38 	17939 	20.86 
97.29 	95.42 	17024 	20.83 
97.50 	93.96 	19542 	20.81 
97.29 	95.69 	23366 	20.80 
97.28 	93.17 	10905 	20.78 
97.44 	93.72 	18244 	20.75 
97.39 	93.46 	12803 	20.75 
97.38 	93.53 	15252 	20.74 
97.12 	92.05 	7542 	20.73 
97.27 	95.26 	12165 	20.68 
97.49 	93.84 	21488 	20.67 
97.24 	94.75 	8767 	20.66 
97.07 	90.31 	21823 	20.65 
97.09 	92.02 	6506 	20.64 
97.15 	94.80 	13679 	20.64 
97.32 	93.03 	13428 	20.60 
97.27 	95.39 	14787 	20.57 
97.35 	93.15 	12364 	20.57 
97.29 	95.58 	18508 	20.54 
97.29 	95.63 	24735 	20.53 
97.14 	91.62 	6706 	20.51 
97.27 	95.61 	25787 	20.50 
97.23 	95.38 	18088 	20.50 
97.21 	94.67 	9412 	20.48 
97.29 	92.89 	10168 	20.46 
97.30 	92.98 	12563 	20.46 
97.24 	94.74 	10567 	20.45 
97.12 	91.54 	7170 	20.45 
97.28 	95.52 	16487 	20.45 
97.42 	93.34 	22415 	20.42 
97.33 	92.80 	10269 	20.42 
97.26 	95.13 	10590 	20.41 
97.22 	94.55 	8783 	20.38 
97.30 	95.39 	17683 	20.34 
97.23 	94.82 	12752 	20.25 
96.84 	92.31 	11871 	20.24 
97.20 	95.07 	16537 	20.23 
96.96 	88.94 	17533 	20.22 
97.28 	95.52 	25552 	20.21 
97.32 	92.81 	10669 	20.19 
97.19 	94.37 	9484 	20.15 
97.14 	91.65 	11672 	20.14 
97.05 	89.71 	15560 	20.10 
97.27 	92.28 	11008 	20.07 
97.43 	93.44 	22384 	20.04 
97.22 	95.38 	31944 	20.04 
97.41 	93.49 	21463 	20.04 
97.33 	92.85 	13873 	20.01 
97.18 	94.91 	18483 	20.01 
97.20 	94.96 	16093 	20.01 
97.23 	92.16 	8796 	20.00 
97.36 	92.97 	14166 	19.98 
96.85 	88.33 	7673 	19.96 
97.27 	95.08 	19408 	19.95 
97.24 	94.57 	13278 	19.94 
97.20 	94.85 	12582 	19.93 
97.39 	93.14 	23477 	19.91 
97.19 	94.24 	9207 	19.90 
97.20 	91.98 	11789 	19.88 
96.98 	89.49 	4983 	19.85 
97.18 	94.65 	12375 	19.85 
97.29 	92.13 	9999 	19.81 
97.38 	93.14 	19457 	19.76 
97.17 	93.96 	11736 	19.74 
97.40 	92.99 	18932 	19.72 
97.20 	94.25 	10624 	19.72 
97.19 	94.65 	13458 	19.70 
97.15 	91.64 	10710 	19.69 
97.25 	92.17 	16198 	19.66 
97.18 	94.98 	25422 	19.62 
96.97 	89.71 	5166 	19.62 
97.21 	92.21 	19255 	19.62 
97.28 	92.52 	19202 	19.61 
96.99 	90.21 	6661 	19.60 
97.21 	91.72 	10963 	19.58 
97.33 	92.86 	20704 	19.55 
97.16 	91.41 	8520 	19.52 
97.11 	90.84 	7791 	19.51 
97.34 	92.79 	14852 	19.51 
97.18 	93.57 	12791 	19.51 
96.09 	81.27 	20456 	19.50 
97.22 	92.40 	13380 	19.50 
97.19 	92.21 	12593 	19.45 
97.20 	94.82 	20053 	19.39 
97.27 	92.54 	17348 	19.39 
97.26 	92.03 	11873 	19.35 
97.17 	94.37 	18154 	19.35 
97.16 	91.50 	11165 	19.31 
97.30 	92.29 	12430 	19.28 
97.13 	91.43 	10491 	19.25 
97.28 	92.48 	20392 	19.24 
97.26 	92.23 	16734 	19.11 
97.20 	91.88 	14895 	19.04 
97.21 	91.94 	11276 	19.03 
97.24 	91.93 	16150 	19.02 
97.10 	94.18 	13658 	19.00 
97.16 	91.54 	11464 	18.93 
97.14 	93.80 	13109 	18.88 
97.01 	90.44 	10006 	18.88 
97.22 	93.97 	16841 	18.86 
97.19 	91.43 	16986 	18.83 
97.14 	91.45 	15301 	18.76 
97.25 	91.84 	17284 	18.76 
97.22 	92.03 	15679 	18.75 
97.22 	94.29 	16525 	18.74 
97.09 	93.23 	13908 	18.71 
97.23 	91.92 	19742 	18.71 
97.17 	94.09 	17396 	18.70 
97.23 	91.75 	15651 	18.67 
97.15 	94.10 	19631 	18.62 
97.19 	93.43 	11525 	18.61 
97.10 	92.53 	8944 	18.58 
96.86 	88.63 	6886 	18.53 
96.89 	89.28 	12402 	18.51 
97.12 	91.07 	16587 	18.48 
96.79 	88.57 	7865 	18.46 
97.08 	90.61 	13522 	18.40 
97.11 	90.88 	15599 	18.30 
97.08 	92.80 	14650 	18.29 
97.09 	90.95 	20186 	18.28 
97.17 	91.09 	19905 	18.22 
97.19 	93.59 	19172 	18.20 
97.15 	93.46 	17823 	18.19 
96.94 	89.57 	11158 	18.17 
97.11 	93.00 	17299 	18.15 
97.02 	90.13 	15472 	18.06 
97.12 	92.88 	14680 	18.05 
97.10 	91.01 	19511 	18.03 
97.10 	92.69 	16225 	18.03 
96.95 	90.10 	7223 	18.01 
97.15 	92.70 	14493 	17.99 
96.91 	89.16 	12616 	17.95 
96.99 	89.77 	11023 	17.93 
97.10 	90.20 	14651 	17.91 
97.05 	90.08 	14035 	17.90 
96.96 	89.14 	10808 	17.88 
97.00 	90.38 	14676 	17.87 
97.08 	92.61 	14661 	17.85 
97.07 	92.15 	11155 	17.85 
97.03 	92.37 	17091 	17.82 
96.90 	88.84 	9277 	17.77 
97.04 	90.11 	15810 	17.77 
97.09 	92.11 	12616 	17.75 
97.03 	90.41 	22713 	17.74 
96.83 	88.14 	9832 	17.72 
96.99 	92.13 	16566 	17.69 
97.06 	91.72 	12758 	17.67 
96.89 	89.07 	16232 	17.63 
96.69 	87.17 	6636 	17.61 
97.04 	90.46 	21919 	17.59 
96.77 	87.59 	5883 	17.58 
97.00 	89.41 	8111 	17.52 
97.06 	91.58 	16962 	17.49 
97.03 	89.74 	16065 	17.49 
96.46 	84.33 	11523 	17.29 
96.69 	87.61 	9638 	17.26 
96.70 	87.45 	8554 	17.19 
97.11 	91.63 	16866 	17.17 
96.61 	86.36 	7337 	17.07 
96.82 	85.15 	16905 	17.04 
96.99 	89.98 	9890 	17.03 
96.96 	90.03 	11869 	17.00 
96.75 	87.77 	14019 	16.98 
96.98 	89.59 	10972 	16.82 
96.81 	87.15 	8983 	16.64 
96.74 	87.21 	14804 	16.58 
97.08 	90.39 	20572 	16.58 
96.57 	85.96 	14446 	16.57 
95.97 	80.55 	6036 	16.46 
96.56 	85.25 	9652 	16.37 
95.88 	80.25 	11915 	16.37 
96.75 	85.40 	9024 	16.36 
96.66 	86.57 	14084 	16.32 
96.01 	80.80 	7694 	16.25 
96.06 	76.88 	4953 	16.24 
96.88 	89.28 	18345 	16.12 
96.39 	79.00 	6320 	16.07 
96.85 	86.17 	12767 	15.98 
96.80 	85.51 	7424 	15.87 
96.51 	85.19 	14464 	15.84 
96.04 	79.81 	9602 	15.73 
96.15 	82.31 	11701 	15.72 
96.81 	85.30 	17212 	15.48 
96.24 	82.34 	11568 	15.38 
96.78 	84.82 	12795 	15.30 
96.10 	80.54 	9600 	15.24 
95.71 	78.60 	11489 	14.66 
96.54 	80.81 	12576 	14.44 
95.32 	73.99 	7608 	14.32 
96.06 	76.16 	12021 	14.04 
93.95 	63.35 	9685 	12.49 
