Sample_Name DEL DUP INS INV
CHLY2F489487	24233 	62 	25875 	179 
ZQLY3M635408	22581 	39 	25264 	168 
CHLY1F178875	24772 	53 	27906 	193 
ZQLY3M147447	23223 	58 	25179 	169 
ZQLY4F428672	23554 	62 	26180 	169 
CHYL2M494997	23939 	67 	25181 	178 
ZQLY3F840099	22827 	52 	24729 	180 
ZQLY4M325000	23142 	48 	25191 	191 
CHLY2M490713	24109 	44 	26985 	182 
ZQLY3M842958	23764 	45 	26322 	165 
CHLY1F280099	24420 	44 	27384 	147 
CHLY1M178977	24231 	62 	26914 	179 
ZQLY1F367855	23541 	41 	26469 	168 
CHLY2M385101	23711 	55 	25067 	182 
HMYL3F919895	24290 	59 	26881 	184 
CHLY1M281325	23801 	42 	27411 	159 
CHLY2F386427	24133 	56 	25830 	164 
CHLY2F492039	23897 	64 	26284 	185 
CHLY1M280713	24017 	50 	26558 	188 
ZQLY3M636631	23029 	44 	25779 	169 
HMYL4F408977	24058 	55 	26350 	180 
ZQLY2F470099	24144 	71 	24007 	169 
ZQLY4F325611	23585 	43 	26571 	165 
CHLY2F385611	24685 	61 	25733 	165 
HMLY1F356529	24059 	58 	26646 	174 
HMYL4F204283	24194 	45 	27390 	177 
ZQLY3F636733	24008 	42 	26925 	174 
HMLY3M252448	23856 	63 	25416 	187 
ZQLY2F473467	23552 	57 	25647 	190 
ZQLY1M366529	24048 	56 	26600 	175 
CHYL1F281427	24188 	50 	27472 	193 
ZQYL2M471529	24124 	62 	26452 	186 
HMYL1F355305	24500 	65 	26724 	192 
ZQLY2M472345	23190 	56 	24454 	193 
HMLY3M713876	23052 	81 	24149 	178 
ZQLY3M248570	24091 	55 	26221 	164 
CHLY2M385713	23879 	62 	25537 	175 
ZQLY3F249385	24131 	60 	25690 	161 
HMYL3M713366	24116 	51 	26913 	188 
CHLY2M489589	24302 	50 	27434 	184 
ZQLY3M840918	23501 	53 	26016 	161 
ZQLY4F326122	23675 	43 	26342 	172 
ZQLY3F247651	24305 	56 	26188 	166 
ZQLY3M249284	25948 	60 	24412 	179 
HMYL4M304997	24402 	52 	27077 	165 
CHLY1F175611	24018 	53 	26481 	175 
ZQLY3F738365	24435 	54 	27068 	182 
HMYL1M354895	23910 	52 	26392 	156 
ZQLY1F367447	24012 	44 	26915 	161 
HMYL3F818467	23936 	53 	26519 	176 
HMYL4M204080	23922 	45 	26729 	172 
ZQLY3F265407	22014 	52 	24103 	174 
CHLY1M175305	24591 	47 	27697 	198 
ZQLY3F249487	23799 	43 	26524 	178 
ZQLY2F471631	24191 	53 	27001 	173 
ZQLY4M532753	23726 	57 	25621 	167 
CHLY1F280407	24332 	44 	27318 	181 
ZQLY4F429080	23068 	52 	25768 	169 
HMLY1M356019	24042 	60 	26089 	176 
CHLY1M282345	24334 	51 	27441 	166 
HMYL4M612040	24922 	57 	25930 	177 
ZQLY3M944488	23510 	61 	25719 	161 
HMLY1M357039	24213 	60 	25936 	157 
CHLY1F175407	24299 	51 	27411 	168 
CHYL2F493059	23983 	66 	26366 	170 
ZQLY3F944385	23319 	52 	25801 	161 
CHLY2F386631	23543 	66 	24829 	176 
CHYL1M177141	23987 	58 	26856 	167 
HMYL2F461325	23994 	56 	25943 	171 
ZQLY2F470815	23948 	60 	26317 	154 
ZQLY3M843263	23234 	48 	25808 	172 
HMLY1F354385	24224 	52 	27135 	172 
ZQLY2M472957	23154 	51 	25289 	174 
ZQLY3F944997	23583 	60 	25761 	177 
HMYL4F202447	23783 	41 	26692 	152 
HMYL1M355815	24099 	51 	26958 	180 
HMLY2F460305	24189 	66 	26086 	166 
ZQLY2M471937	23771 	55 	25537 	188 
CHLY2F492651	23593 	58 	25795 	177 
CHLY2F388671	23426 	73 	24802 	158 
ZQLY4M120101	23981 	57 	26338 	177 
ZQLY1F365611	24276 	41 	27307 	164 
CHLY2M491529	24073 	52 	26646 	169 
ZQLY1F368875	24130 	48 	26933 	175 
HMLY2F460917	24300 	53 	25902 	173 
ZQLY4M121122	22186 	61 	23971 	152 
HMYL4M409182	23794 	58 	26136 	177 
CHLY1F177039	24520 	44 	27081 	155 
HMYL2F358365	24200 	56 	26728 	178 
ZQLY3F248365	24034 	46 	26449 	169 
HMLY4F407345	23442 	68 	24511 	186 
HMLY3F714385	23839 	60 	25996 	177 
CHLY1F280611	24442 	47 	27615 	159 
HMLY3M716122	23734 	60 	25990 	178 
HMYL4F612447	24077 	57 	26527 	185 
CHLY1F178671	23878 	50 	26719 	153 
HMLY4M509692	24076 	65 	25770 	169 
ZQLY4F326325	23938 	60 	24427 	164 
HMYL4M203875	23836 	57 	26099 	179 
HMYL3F712957	23572 	66 	25691 	162 
CHYL2F494283	24132 	64 	26403 	160 
ZQLY1M366733	23730 	41 	26745 	159 
HMLY2M460611	24342 	54 	26441 	175 
HMYL2M461223	24544 	67 	26596 	169 
HMLY4F101325	24071 	52 	26638 	170 
CHLY2M388569	23828 	56 	26143 	170 
HMLY4M304590	23799 	57 	25729 	168 
ZQLY4M224896	23407 	59 	24746 	153 
ZQLY3M265306	22897 	60 	24567 	154 
HMLY4F611325	24414 	51 	26826 	174 
CHLY1F281223	24440 	40 	27306 	176 
HMYL3M251938	23403 	52 	26339 	186 
HMYL3F251631	24012 	53 	25652 	153 
CHLY1M175917	23935 	62 	25377 	157 
HMYL3F713467	24519 	48 	27374 	163 
HMYL1M355099	23729 	60 	25855 	188 
CHYL1F179691	23971 	51 	26495 	161 
HMLY1F354997	23620 	51 	25886 	167 
ZQLY1F366631	24053 	46 	26977 	176 
CHLY1M179997	24102 	46 	26745 	173 
CHYL2M490305	24025 	61 	26992 	161 
ZQLY3F145611	23694 	39 	26271 	162 
ZQLY3M248060	23245 	58 	24509 	179 
HMYL2F461121	23406 	49 	25396 	173 
HMLY4M100408	23750 	50 	26138 	164 
HMLY4M612652	23380 	61 	25467 	168 
ZQLY3F147345	23466 	52 	25791 	173 
HMLY4F612243	24257 	54 	26951 	182 
CHLY1M176529	24304 	36 	27554 	169 
ZQLY2M470509	23784 	63 	25552 	168 
HMLY3F714589	24512 	53 	26390 	149 
CHYL2M492753	23892 	55 	25711 	176 
CHLY1M280917	24000 	43 	27037 	171 
ZQLY4M634590	23426 	40 	26060 	176 
HMYL3F713263	24591 	47 	26498 	178 
CHLY2F387855	23848 	62 	25971 	161 
CHLY2F489895	24225 	52 	26515 	172 
HMYL4M306734	23935 	56 	26273 	152 
HMYL3M151122	24051 	56 	26657 	185 
ZQLY1F367243	24060 	43 	27303 	185 
CHYL2M385305	23509 	59 	24965 	181 
HMYL4F510917	23151 	66 	24686 	162 
CHYL2F489691	25123 	59 	25074 	190 
ZQLY1F366427	24017 	41 	26927 	180 
HMYL4M509998	24330 	47 	26979 	177 
HMYL1F356121	23568 	55 	25620 	159 
HMYL3F919079	23696 	52 	25953 	153 
CHLY1F175203	23881 	38 	26746 	166 
ZQLY4F633467	23829 	46 	26314 	158 
ZQLY2F470611	22657 	60 	24642 	189 
