SampleName	HET	HOM	Farm	Strain	Stage	Sex
ZQLY4M326530Cyclone	30264	20496	ZQ	LY	Stage4	M
ZQLY4M429692Cyclone	33449	18742	ZQ	LY	Stage4	M
ZQLY4M326734Cyclone	28391	20873	ZQ	LY	Stage4	M
ZQLY4M326938Cyclone	36671	18081	ZQ	LY	Stage4	M
ZQLY4M530000Cyclone	29436	21046	ZQ	LY	Stage4	M
ZQLY4M531530Cyclone	33591	19225	ZQ	LY	Stage4	M
ZQLY4M531224Cyclone	34970	18962	ZQ	LY	Stage4	M
ZQLY4M530204Cyclone	27463	22023	ZQ	LY	Stage4	M
ZQLY4M532141Cyclone	33148	18693	ZQ	LY	Stage4	M
ZQLY4M531938Cyclone	31213	20584	ZQ	LY	Stage4	M
ZQLY4M531733Cyclone	31204	20499	ZQ	LY	Stage4	M
ZQLY4M532448Cyclone	33075	20947	ZQ	LY	Stage4	M
ZQLY4M532652Cyclone	29864	21844	ZQ	LY	Stage4	M
ZQLY4M532753Cyclone	33401	19489	ZQ	LY	Stage4	M
ZQLY4M633672Cyclone	37613	18266	ZQ	LY	Stage4	M
ZQLY4M633774Cyclone	36424	18584	ZQ	LY	Stage4	M
ZQLY4M633978Cyclone	37077	19080	ZQ	LY	Stage4	M
ZQLY4M634080Cyclone	33540	19191	ZQ	LY	Stage4	M
ZQLY4M634590Cyclone	30583	21026	ZQ	LY	Stage4	M
ZQLY4M635203Cyclone	30477	20440	ZQ	LY	Stage4	M
ZQLY4M635306Cyclone	28550	20954	ZQ	LY	Stage4	M
ZQLY4M635714Cyclone	30731	20975	ZQ	LY	Stage4	M
ZQYL2M471529Cyclone	35335	18446	ZQ	YL	Stage2	M
ZQYL3M636428Cyclone	33886	19024	ZQ	YL	Stage3	M
CHYL1F177855Cyclone	34673	18165	CH	YL	Stage1	F
CHLY1M280713Cyclone	34751	18167	CH	LY	Stage1	M
CHLY2F385407Cyclone	37094	17201	CH	LY	Stage2	F
CHYL2M489385Cyclone	33805	18391	CH	YL	Stage2	M
CHLY2M489589Cyclone	34621	18544	CH	LY	Stage2	M
CHLY2M490713Cyclone	34880	18112	CH	LY	Stage2	M
CHLY2M491529Cyclone	34730	18120	CH	LY	Stage2	M
CHLY2F492243Cyclone	35429	17343	CH	LY	Stage2	F
CHLY2F492447Cyclone	36157	17326	CH	LY	Stage2	F
CHYL2F494283Cyclone	36023	18200	CH	YL	Stage2	F
HMLY4M612652Cyclone	33317	18144	HM	LY	Stage4	M
HMYL4M306326Cyclone	35085	18039	HM	YL	Stage4	M
HMYL3F251631Cyclone	35079	17864	HM	YL	Stage3	F
HMLY1F356529Cyclone	34708	18097	HM	LY	Stage1	F
HMYL4M100204Cyclone	34243	18626	HM	YL	Stage4	M
ZQLY3F738365Cyclone	35274	18368	ZQ	LY	Stage3	F
ZQLY4M326020Cyclone	29141	20732	ZQ	LY	Stage4	M
HMLY2F458977Cyclone	35294	18087	HM	LY	Stage2	F
ZQYL4F224691Cyclone	32572	19681	ZQ	YL	Stage4	F
ZQLY4M122040Cyclone	31187	19771	ZQ	LY	Stage4	M
ZQLY2F471223Cyclone	33834	18573	ZQ	LY	Stage2	F
